image_name,blob_count,avg_radius,std_radius,min_radius,max_radius,avg_contrast,std_contrast,min_contrast,max_contrast,avg_dissimilarity,std_dissimilarity,min_dissimilarity,max_dissimilarity,avg_homogeneity,std_homogeneity,min_homogeneity,max_homogeneity,avg_energy,std_energy,min_energy,max_energy,avg_correlation,std_correlation,min_correlation,max_correlation,class
p214-010-60060-mr.png,64.0,16.920941546018398,23.166392407887532,8.0,181.01933598375626,1967247.9609374998,56409.47265625003,230.61392162425065,71.35204177706346,,5713549.829302718,229511.14552106863,1391.0995921974506,305.52309665751886,,45631936.16666666,1838336.666666667,11215.584617513252,2475.1067101706435,,416576.16666666674,7102.0,5.576225080342982,14.246377658399618,,4
p214-010-60062-cl.png,116.0,23.40227892984421,23.161849492738128,8.0,181.01933598375626,2117646.700431035,67497.73204022985,317.23016954526963,98.5592385691886,1.0001570681637877,3289937.882857615,160297.289720633,1191.106646787193,234.86737680055492,0.0016901547732449827,30662729.54166667,1537580.291666667,11825.390208711717,2255.605268156623,1.0182819557972116,274166.79166666674,6351.166666666668,7.070429003442098,14.629888148673407,0.9999955871106936,4
p214-010-60062-cr.png,158.0,21.392638853569363,20.218441646862672,8.0,128.00000000000006,2006730.78349156,57638.80511603374,271.33893335589937,103.77860413462456,0.9999993532293224,2615998.4091452905,107886.68244735435,1058.134924835858,435.5155936610914,9.985782287057666e-07,15620000.708333336,766902.0416666665,11214.404433236288,5362.034802895537,0.99999999999846,191374.8333333333,3860.916666666666,6.393751084604047,14.283804180299587,0.9999962249536544,4
p214-010-60062-ml.png,91.0,23.306166834138452,25.992994716124826,8.0,181.01933598375626,2067183.4322344318,70957.16575091577,383.163677574093,116.68152380535368,1.0000002501277965,3760993.0403239527,186811.91434606272,1400.3893552118493,317.50460218222764,8.517721490705077e-06,31919299.70833333,1587181.125,11474.806578512915,2653.419166066003,1.000080545269497,157646.45833333337,3356.958333333333,6.798009021437976,14.518798965783056,0.9999963354647428,4
p214-010-60062-mr.png,88.0,25.323953805549134,32.99816937098531,8.0,181.01933598375626,2986172.866477273,104499.56344696973,528.7175916734376,171.67890871509604,,6450449.593242479,285224.90534045995,1858.4593534886048,485.2160081640242,,42006915.333333336,1817045.833333333,12567.6698502774,2997.992580862574,,227573.5,3925.0,6.612285603495676,14.298664744330912,,4
p214-010-60066-cl.png,196.0,15.85973436167512,14.974108588424153,8.0,128.00000000000006,1714236.0637755103,41056.89880952382,91.45916370659454,43.453302674545995,0.9999989058114456,3628531.384975758,121348.35739304086,405.65097289945857,97.94049068070578,1.2778487071693831e-06,34543485.625,1163538.458333333,3958.4007718011458,937.8111104492367,0.9999999999956868,371159.0,6636.333333333332,5.094021253415427,14.246338959954087,0.999994371173496,3
p214-010-60066-cr.png,184.0,15.708322344452105,18.79490912781403,8.0,181.01933598375626,1723880.423233697,45553.51607789857,135.8796566127594,49.279120005351025,,4548786.376482664,174695.99666754823,748.9552790374893,156.56985851476432,,52563696.95833334,2032693.708333333,8870.29423443548,1765.8190214017868,,238063.625,4925.708333333333,4.962208071760924,14.08776227570719,,3
p214-010-60066-ml.png,165.0,15.421973841784336,11.514641342550027,8.0,64.00000000000003,1273315.13838384,30073.562626262603,78.40728423873911,38.26025826985803,0.9999990296219556,1331705.2841624669,45974.86302704201,196.44371076656338,45.862573203611475,1.1983590695852353e-06,8635483.583333334,285806.16666666674,1356.4939315552576,286.15743914659384,0.9999999999675788,253578.70833333328,5259.125,5.666608412700916,14.287582912058198,0.9999948392504008,3
p214-010-60066-mr.png,207.0,16.99780969495573,18.090541790920614,8.0,128.00000000000006,1755024.6082930746,46116.781803542624,143.94450503314337,51.07528235846834,0.9999990354426921,3432253.8269938068,129981.3027952812,589.7322718887042,117.44063043120222,1.1430893020959956e-06,27614180.625,1033777.375,4601.543797090681,953.230209555762,0.9999999999971158,338391.95833333326,6188.0,5.044765597139488,14.136075963005805,0.99999601679213,3
p214-010-60070-cl.png,111.0,18.46845285492294,23.335335240084106,8.0,181.01933598375626,2019730.1276276272,60265.13663663662,224.82819162330247,63.748656006960715,,4703081.13936466,197894.83192072128,1075.3860775402036,185.0092011139828,,40329409.125,1761794.791666667,10217.916188069912,1702.9435309223993,,366360.16666666674,6340.583333333332,5.422458070187142,14.307382682240679,,3
