,x,y,radius,img_name
80,1714.0,727.0,11.313708498984761,phMix402_c_1.dcm
81,1692.0,517.0,11.313708498984761,phMix402_c_1.dcm
82,1689.0,1534.0,11.313708498984761,phMix402_c_1.dcm
83,1661.0,606.0,11.313708498984761,phMix402_c_1.dcm
84,1650.0,1007.0,11.313708498984761,phMix402_c_1.dcm
85,1648.0,975.0,11.313708498984761,phMix402_c_1.dcm
86,1750.0,1468.0,8.0,phMix402_c_1.dcm
87,1750.0,1166.0,8.0,phMix402_c_1.dcm
88,1748.0,1066.0,8.0,phMix402_c_1.dcm
89,1747.0,673.0,8.0,phMix402_c_1.dcm
90,1746.0,1496.0,8.0,phMix402_c_1.dcm
91,1745.0,463.0,8.0,phMix402_c_1.dcm
92,1742.0,583.0,8.0,phMix402_c_1.dcm
93,1738.0,598.0,8.0,phMix402_c_1.dcm
94,1731.0,1475.0,8.0,phMix402_c_1.dcm
95,1709.0,1556.0,8.0,phMix402_c_1.dcm
96,1708.0,928.0,8.0,phMix402_c_1.dcm
97,1708.0,749.0,8.0,phMix402_c_1.dcm
98,1696.0,1512.0,8.0,phMix402_c_1.dcm
99,1693.0,1000.0,8.0,phMix402_c_1.dcm
100,1689.0,983.0,8.0,phMix402_c_1.dcm
101,1678.0,936.0,8.0,phMix402_c_1.dcm
102,1674.0,703.0,8.0,phMix402_c_1.dcm
103,1661.0,771.0,8.0,phMix402_c_1.dcm
104,1656.0,541.0,8.0,phMix402_c_1.dcm
105,1655.0,872.0,8.0,phMix402_c_1.dcm
106,1644.0,903.0,8.0,phMix402_c_1.dcm
107,1436.0,1218.0,8.0,phMix402_c_1.dcm
108,1390.0,1247.0,8.0,phMix402_c_1.dcm
109,1390.0,1239.0,8.0,phMix402_c_1.dcm
110,1581.0,1369.0,181.01933598375626,phMix402_c_2.dcm
111,1511.0,1078.0,128.00000000000006,phMix402_c_2.dcm
112,1562.0,796.0,90.50966799187813,phMix402_c_2.dcm
113,1713.0,1241.0,45.25483399593906,phMix402_c_2.dcm
114,1695.0,1056.0,45.25483399593906,phMix402_c_2.dcm
115,1694.0,579.0,45.25483399593906,phMix402_c_2.dcm
116,1690.0,1146.0,45.25483399593906,phMix402_c_2.dcm
117,1722.0,826.0,32.00000000000001,phMix402_c_2.dcm
118,1699.0,1631.0,32.00000000000001,phMix402_c_2.dcm
119,1639.0,994.0,32.00000000000001,phMix402_c_2.dcm
120,1639.0,939.0,32.00000000000001,phMix402_c_2.dcm
121,1734.0,875.0,22.627416997969526,phMix402_c_2.dcm
122,1716.0,628.0,22.627416997969526,phMix402_c_2.dcm
123,1698.0,1598.0,22.627416997969526,phMix402_c_2.dcm
124,1645.0,1627.0,22.627416997969526,phMix402_c_2.dcm
125,1583.0,703.0,22.627416997969526,phMix402_c_2.dcm
126,1461.0,876.0,22.627416997969526,phMix402_c_2.dcm
127,1446.0,937.0,16.000000000000004,phMix402_c_2.dcm
128,1445.0,1230.0,16.000000000000004,phMix402_c_2.dcm
129,1398.0,1212.0,16.000000000000004,phMix402_c_2.dcm
130,1746.0,1036.0,11.313708498984761,phMix402_c_2.dcm
131,1746.0,679.0,11.313708498984761,phMix402_c_2.dcm
132,1745.0,1163.0,11.313708498984761,phMix402_c_2.dcm
133,1745.0,590.0,11.313708498984761,phMix402_c_2.dcm
134,1735.0,1480.0,11.313708498984761,phMix402_c_2.dcm
135,1723.0,1181.0,11.313708498984761,phMix402_c_2.dcm
136,1715.0,717.0,11.313708498984761,phMix402_c_2.dcm
137,1713.0,731.0,11.313708498984761,phMix402_c_2.dcm
138,1692.0,521.0,11.313708498984761,phMix402_c_2.dcm
139,1688.0,1539.0,11.313708498984761,phMix402_c_2.dcm
140,1682.0,941.0,11.313708498984761,phMix402_c_2.dcm
141,1677.0,709.0,11.313708498984761,phMix402_c_2.dcm
142,1654.0,770.0,11.313708498984761,phMix402_c_2.dcm
143,1641.0,1193.0,11.313708498984761,phMix402_c_2.dcm
144,1590.0,892.0,11.313708498984761,phMix402_c_2.dcm
